Iteration,Energy,Positional_error,Obstacle_distance,Task success,Task_success_rate,Penalty,HV,Parameters
12,2.04,0.07833549534976318,0.2275823503732681,1,0.9940125522938668,0.005987447706133208,0.87,"{'max_vel_trans': 0.3524050180334598, 'cost_scaling_factor': 7.951295989565551, 'inflation_radius': 1.2189675009809433, 'max_scaling_factor': 0.26047983095049865, 'max_vel_theta': 3.9127947073429823, 'vth_samples': 21, 'min_vel_theta': 1.7988801896572113, 'min_vel_x': -0.16850483771413563, 'occdist_scale': 0.026880086753517385, 'conservative_reset_dist': 4.443709820508957, 'min_vel_trans': 0.15121157737448812, 'controller_frequency': 13.419134141877294}"
13,2.57,0.3804970566842469,0.3482503294944763,0,0.5,0.0,0.76,"{'max_vel_trans': 0.32992144939489665, 'cost_scaling_factor': 9.824991502799094, 'inflation_radius': 1.864193792641163, 'max_scaling_factor': 0.2912651866674424, 'max_vel_theta': 2.013730552047491, 'vth_samples': 50, 'min_vel_theta': 1.8946241158992052, 'min_vel_x': -0.14041931061074137, 'occdist_scale': 0.0845757752843201, 'conservative_reset_dist': 2.6141769886016846, 'min_vel_trans': 0.21690481979399923, 'controller_frequency': 13.448778232559562}"
14,1.8,0.04249578791626259,0.14861580729484558,1,0.9609497299882507,0.03905027001174936,0.9,"{'max_vel_trans': 0.24866138407960534, 'cost_scaling_factor': 11.568734495900571, 'inflation_radius': 1.9116928303614258, 'max_scaling_factor': 0.10734270922839642, 'max_vel_theta': 3.515613338444382, 'vth_samples': 25, 'min_vel_theta': 1.4629563987255096, 'min_vel_x': -0.25614554453641175, 'occdist_scale': 0.11979690030217169, 'conservative_reset_dist': 3.8255363404750824, 'min_vel_trans': 0.11047503685578705, 'controller_frequency': 9.057817971333861}"
15,0.66,2.3863579238916115,0.7534049153327942,0,0.0,0.0,0.2,"{'max_vel_trans': 0.2969100581016392, 'cost_scaling_factor': 4.198974316008389, 'inflation_radius': 1.0290969080291688, 'max_scaling_factor': 0.11854925425723195, 'max_vel_theta': 2.3309990912675858, 'vth_samples': 26, 'min_vel_theta': 0.7173780612647533, 'min_vel_x': -0.03795886058360337, 'occdist_scale': 0.014364007618278263, 'conservative_reset_dist': 3.710333302617073, 'min_vel_trans': 0.08254607236012816, 'controller_frequency': 13.572773458436131}"
16,1.78,0.06838458698548364,0.1303422451019287,1,0.9852090129808007,0.014790987019199363,0.89,"{'max_vel_trans': 0.3234348697907729, 'cost_scaling_factor': 12.838990666201461, 'inflation_radius': 0.6947835428932766, 'max_scaling_factor': 0.13009796042182661, 'max_vel_theta': 2.899582717110055, 'vth_samples': 27, 'min_vel_theta': 0.8176099729016479, 'min_vel_x': -0.16018751615060708, 'occdist_scale': 0.04859535872454871, 'conservative_reset_dist': 2.1084183135580314, 'min_vel_trans': 0.12881447998224266, 'controller_frequency': 12.90310796429801}"
17,1.52,0.07057014341575929,0.5394426584243774,1,1.0,0.0,0.9,"{'max_vel_trans': 0.33270252419999197, 'cost_scaling_factor': 10.124676656963285, 'inflation_radius': 0.9460853912336091, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.7572586093745217, 'vth_samples': 20, 'min_vel_theta': 0.5, 'min_vel_x': -0.16360204110959445, 'occdist_scale': 0.03086637985254953, 'conservative_reset_dist': 2.9068915992148767, 'min_vel_trans': 0.10675498795943617, 'controller_frequency': 14.499000369688096}"
18,1.48,0.05110047462674158,0.5753418803215027,1,1.0,0.0,0.91,"{'max_vel_trans': 0.34109566735954333, 'cost_scaling_factor': 10.940143711676207, 'inflation_radius': 0.48368218886123315, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.7165474388170456, 'vth_samples': 20, 'min_vel_theta': 0.5, 'min_vel_x': -0.18971158981517036, 'occdist_scale': 0.03228045711016346, 'conservative_reset_dist': 2.7960999166989327, 'min_vel_trans': 0.10990275901611297, 'controller_frequency': 14.693553805398619}"
19,1.43,0.05819922610211764,0.12103050202131273,1,0.986866319874136,0.013133680125863993,0.91,"{'max_vel_trans': 0.2513323413751898, 'cost_scaling_factor': 18.05311877846865, 'inflation_radius': 0.3, 'max_scaling_factor': 0.10575415642587743, 'max_vel_theta': 3.229575961811324, 'vth_samples': 44, 'min_vel_theta': 1.0988412486396624, 'min_vel_x': -0.049717660069655556, 'occdist_scale': 0.11175061168819006, 'conservative_reset_dist': 1.0, 'min_vel_trans': 0.1909201544483662, 'controller_frequency': 11.51999646558913}"
20,1.47,0.04827225391796329,0.5156427621841431,1,1.0,0.0,0.91,"{'max_vel_trans': 0.34313916581302667, 'cost_scaling_factor': 9.619364550376801, 'inflation_radius': 0.5972556791439667, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.7157028811148787, 'vth_samples': 20, 'min_vel_theta': 0.5, 'min_vel_x': -0.2058168707254946, 'occdist_scale': 0.025872910245302132, 'conservative_reset_dist': 1.2257345457123412, 'min_vel_trans': 0.10091742880233523, 'controller_frequency': 15.0}"
21,1.64,0.08000183310849637,0.13931956887245178,1,0.9774696958921607,0.022530304107839245,0.89,"{'max_vel_trans': 0.3463871797137238, 'cost_scaling_factor': 14.075486102639305, 'inflation_radius': 0.9430932703143378, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.706611177050106, 'vth_samples': 20, 'min_vel_theta': 0.5, 'min_vel_x': -0.24318635358023294, 'occdist_scale': 0.03951670007244853, 'conservative_reset_dist': 1.5079858359428342, 'min_vel_trans': 0.11982923494096903, 'controller_frequency': 14.515195150163596}"
