Iteration,Energy,Positional_error,Obstacle_distance,Task success,Task_success_rate,Penalty,HV,Parameters
15,0.66,2.3859536892683484,0.7912062406539917,0,0.0,0.0,0.2,"{'vy_samples': 2, 'path_distance_bias': 39.638146832585335, 'min_vel_theta': 2.1900979038327932, 'conservative_reset_dist': 3.58366222307086, 'scaling_speed': 0.16706071216613053, 'controller_frequency': 10.72759423404932, 'sim_time': 1.846526499837637, 'min_vel_x': -0.11024941680952907, 'publish_frequency': 5.600456618703902, 'controller_patience': 16.929264198988676}"
16,0.6,2.392654591358982,0.757127046585083,0,0.0,0.0,0.2,"{'vy_samples': 1, 'path_distance_bias': 29.944841472425512, 'min_vel_theta': 1.1196010982868598, 'conservative_reset_dist': 3.0085338822048358, 'scaling_speed': 0.22564655329411754, 'controller_frequency': 12.474405170087733, 'sim_time': 1.887460735736344, 'min_vel_x': -0.10030588263252424, 'publish_frequency': 7.375890164479328, 'controller_patience': 11.867818965772697}"
17,1.46,0.058095129913276325,0.5605307221412659,1,1.0,0.0,0.91,"{'vy_samples': 1, 'path_distance_bias': 37.31298840029838, 'min_vel_theta': 1.2298675697363186, 'conservative_reset_dist': 2.98904269399663, 'scaling_speed': 0.22083482591589096, 'controller_frequency': 12.302975652567522, 'sim_time': 1.8180704156075989, 'min_vel_x': -0.0995230493263248, 'publish_frequency': 7.316129257887238, 'controller_patience': 12.410141868704313}"
18,1.49,0.04227921782818801,0.5470114350318909,1,1.0,0.0,0.91,"{'vy_samples': 1, 'path_distance_bias': 22.756175036392428, 'min_vel_theta': 1.139358105931632, 'conservative_reset_dist': 2.8871791258110138, 'scaling_speed': 0.21503733702969155, 'controller_frequency': 12.22575161635163, 'sim_time': 1.7748706683320141, 'min_vel_x': -0.09986579530220982, 'publish_frequency': 7.502214536856499, 'controller_patience': 12.025278779963152}"
19,1.41,0.06178037254420801,0.557018518447876,1,1.0,0.0,0.91,"{'vy_samples': 1, 'path_distance_bias': 25.73275339273659, 'min_vel_theta': 1.2750087009324371, 'conservative_reset_dist': 3.0919681725902946, 'scaling_speed': 0.21884470609227824, 'controller_frequency': 12.644361509001687, 'sim_time': 1.8988413397841652, 'min_vel_x': -0.10012249811029192, 'publish_frequency': 7.124094890102893, 'controller_patience': 11.996297489574188}"
20,1.8,0.07325697866293826,0.3966628611087799,1,1.0,0.0,0.89,"{'vy_samples': 1, 'path_distance_bias': 35.0898482938275, 'min_vel_theta': 0.9239731785883363, 'conservative_reset_dist': 3.0407393020372115, 'scaling_speed': 0.2197268386315328, 'controller_frequency': 12.937434277168801, 'sim_time': 1.958935996534527, 'min_vel_x': -0.09157592249309135, 'publish_frequency': 7.5845834408345985, 'controller_patience': 10.88893169780993}"
21,15.46,0.07030892318409654,0.119999997317791,1,0.9941307323546307,0.005869267645369272,0.22,"{'vy_samples': 2, 'path_distance_bias': 34.1393798076858, 'min_vel_theta': 2.1496066366460633, 'conservative_reset_dist': 3.5589671920682164, 'scaling_speed': 0.1647417951243187, 'controller_frequency': 10.904664705189385, 'sim_time': 1.8247680844534042, 'min_vel_x': -0.10618305202239331, 'publish_frequency': 5.530591482275309, 'controller_patience': 16.747961449133125}"
22,1.46,0.05477013516992756,0.5476670861244202,1,1.0,0.0,0.91,"{'vy_samples': 1, 'path_distance_bias': 25.998603039944577, 'min_vel_theta': 0.9019881156773425, 'conservative_reset_dist': 2.4878815344613576, 'scaling_speed': 0.24323989633486315, 'controller_frequency': 11.816205719624811, 'sim_time': 1.6461757946738251, 'min_vel_x': -0.10704468381645088, 'publish_frequency': 8.527561144211717, 'controller_patience': 11.699646515519097}"
23,1.48,0.053397075054244236,0.5675047039985657,1,1.0,0.0,0.91,"{'vy_samples': 3, 'path_distance_bias': 26.92315609348948, 'min_vel_theta': 1.2836427069257481, 'conservative_reset_dist': 3.1483262279381146, 'scaling_speed': 0.23584297643191376, 'controller_frequency': 10.965453159079864, 'sim_time': 1.8188571398888576, 'min_vel_x': -0.13824596492128416, 'publish_frequency': 8.6961768611266, 'controller_patience': 12.136392391395566}"
24,1.84,0.046732071808610665,0.1250845342874527,1,0.9835016032836525,0.0164983967163474,0.89,"{'vy_samples': 0, 'path_distance_bias': 28.291627736114677, 'min_vel_theta': 1.3410412066204522, 'conservative_reset_dist': 2.9791696392532705, 'scaling_speed': 0.25401439185369656, 'controller_frequency': 13.28925396049353, 'sim_time': 1.750119605455093, 'min_vel_x': -0.10313029148831868, 'publish_frequency': 6.666751234652054, 'controller_patience': 11.845892224095682}"
25,0.62,2.3856269855085777,0.751491129398346,0,0.0,0.0,0.2,"{'vy_samples': 2, 'path_distance_bias': 26.05305341093352, 'min_vel_theta': 1.0254440703642915, 'conservative_reset_dist': 3.558790732174771, 'scaling_speed': 0.24588549036039872, 'controller_frequency': 12.317328891871792, 'sim_time': 1.708102258699439, 'min_vel_x': -0.11239730582639246, 'publish_frequency': 6.630295645878237, 'controller_patience': 11.703923793463243}"
26,1.4,0.061852258769134985,0.5408274531364441,1,1.0,0.0,0.91,"{'vy_samples': 2, 'path_distance_bias': 28.16631013903706, 'min_vel_theta': 0.9647595906257782, 'conservative_reset_dist': 4.102095228195866, 'scaling_speed': 0.21887123194289132, 'controller_frequency': 12.526557693982245, 'sim_time': 1.8305795005939536, 'min_vel_x': -0.09048060630689539, 'publish_frequency': 5.96003987983695, 'controller_patience': 11.83623705674508}"
27,1.61,0.04738375730685939,0.32506063580513,1,1.0,0.0,0.9,"{'vy_samples': 2, 'path_distance_bias': 42.79192769573092, 'min_vel_theta': 2.2469195789054766, 'conservative_reset_dist': 4.213212195085507, 'scaling_speed': 0.1559762162379512, 'controller_frequency': 10.792548029840138, 'sim_time': 1.8257651008811773, 'min_vel_x': -0.10053106668680875, 'publish_frequency': 5.610958211955376, 'controller_patience': 17.019342845783736}"
28,1.62,0.0636072123090996,0.4689706265926361,1,1.0,0.0,0.9,"{'vy_samples': 2, 'path_distance_bias': 26.961521803625274, 'min_vel_theta': 1.1413843055576531, 'conservative_reset_dist': 3.086441483131669, 'scaling_speed': 0.1882208349464493, 'controller_frequency': 11.740887732731597, 'sim_time': 2.0459987300093125, 'min_vel_x': -0.08975756607561114, 'publish_frequency': 6.995988364365154, 'controller_patience': 11.978346110262747}"
29,0.6,2.386355175407372,0.7809213399887085,0,0.0,0.0,0.2,"{'vy_samples': 2, 'path_distance_bias': 28.4128436864353, 'min_vel_theta': 1.020983505140638, 'conservative_reset_dist': 2.3876039089600902, 'scaling_speed': 0.2116146284332054, 'controller_frequency': 12.896759147958061, 'sim_time': 1.8357640970644593, 'min_vel_x': -0.13328837224721202, 'publish_frequency': 5.242242089834004, 'controller_patience': 10.328058420191294}"
30,1.8,0.06764189546652477,0.12621593475341794,1,0.9923045502010497,0.007695449798950265,0.89,"{'vy_samples': 2, 'path_distance_bias': 28.75690977254999, 'min_vel_theta': 1.073852696507854, 'conservative_reset_dist': 3.065754036277287, 'scaling_speed': 0.23150554202665236, 'controller_frequency': 12.288687027658012, 'sim_time': 1.7500662114154635, 'min_vel_x': -0.15341060239323057, 'publish_frequency': 7.742440195118105, 'controller_patience': 10.616264151566728}"
31,0.6,2.3859124443908386,0.7007507085800171,0,0.0,0.0,0.2,"{'vy_samples': 3, 'path_distance_bias': 25.371997967357295, 'min_vel_theta': 0.8184763544350415, 'conservative_reset_dist': 2.4694472248966024, 'scaling_speed': 0.2238155114676804, 'controller_frequency': 11.286221630858849, 'sim_time': 1.8853531713669784, 'min_vel_x': -0.07918163208547582, 'publish_frequency': 6.333763141839837, 'controller_patience': 12.131812078854932}"
32,1.43,0.06714038508019893,0.3936055600643158,1,1.0,0.0,0.91,"{'vy_samples': 1, 'path_distance_bias': 30.277733056104964, 'min_vel_theta': 1.157362505936526, 'conservative_reset_dist': 3.159928262414278, 'scaling_speed': 0.2045242966722495, 'controller_frequency': 12.284370096115993, 'sim_time': 1.6581575326409284, 'min_vel_x': -0.09356346535847018, 'publish_frequency': 5.0, 'controller_patience': 12.414730969453814}"
33,1.88,0.053561535835476085,0.5126003623008728,1,1.0,0.0,0.89,"{'vy_samples': 2, 'path_distance_bias': 25.758526000541806, 'min_vel_theta': 0.6480162177385814, 'conservative_reset_dist': 2.4334698029968145, 'scaling_speed': 0.22673313757018385, 'controller_frequency': 11.927378136628448, 'sim_time': 1.6488559467445196, 'min_vel_x': -0.07208359960883087, 'publish_frequency': 5.6713662195916505, 'controller_patience': 11.78729876309429}"
