controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
13.68,3.92,17.97,4.75,2.04,0.27,2.16,0.35,11.12,0.27,3.34,0.21,0.18,0.62,0.19,-0.01,0.03,0.3,35.75,0.35,0.04,1.28,1.21,0.06,0.1,50,25,4,12.6,0.09,0.97,12.66,5.4,0.98,4417,30,2.39697358987827,4.37,635.65,0.12,11.21,0
8.21,4.26,14.13,3.99,4.3,0.09,1.87,0.51,35.02,0.33,2.25,0.3,0.19,1.64,0.14,-0.19,0.02,0.36,28.2,0.19,0.03,1.18,0.19,0.12,0.06,32,26,5,14.13,0.06,1.02,7.07,5.44,1.96,445,3,0.015367882960056,116.41,814.4,0.13,17.7,0.5
5.02,6,15.82,1.27,4.49,0.1,2.97,0.48,39.77,0.32,2.62,0.27,0.15,1.03,0.18,-0.14,0.15,0.15,22.65,0.22,0.03,2.13,1.28,0.11,0.11,30,12,3,15.04,0.08,1.8,12.92,18.84,1.67,6248,19,0.179617171373872,8.09,1553.78,0.12,16.99,0.5
5.08,4.23,15.12,1.7,4.4,0.1,1.95,0.35,31.76,0.23,3.08,0.38,0.39,1.44,0.12,-0.15,0.13,0.43,21.77,0.31,0.02,1.78,1.22,0.1,0.08,26,29,0,13.23,0.08,1.01,14.29,13.36,1.21,405,3,3.82262769598558,85.05,607.27,0.23,16.15,0.5
6.63,6.75,17.22,4.05,2.8,0.26,3.58,0.38,15.82,0.23,3.45,0.19,0.34,0.75,0.2,-0.09,0.14,0.27,40.56,0.25,0.03,2.03,1.28,0.07,0.12,33,28,0,10.73,0.13,1.93,15.18,13.92,0.92,3488,36,2.33564082586831,8.65,958.95,0.38,16.11,0
5.1,6.71,11.5,1.71,2.37,0.12,1.79,0.26,29.9,0.15,3.99,0.3,0.18,0.88,0.2,-0.08,0.03,0.3,29.27,0.29,0.04,0.88,1.06,0.08,0.09,29,28,4,15.76,0.12,1.99,7.39,6.11,1.19,4014,27,1.39622424845345,3.99,1007.33,0.21,12.64,0
12.6,5.99,19.89,2.8,3.48,0.23,2,0.45,34.65,0.35,1.61,0.39,0.19,1.01,0.13,-0.2,0.06,0.22,34.22,0.27,0.03,0.5,0.26,0.11,0.14,41,15,3,7.93,0.13,1.03,14.26,14.03,0.79,120,4,0.030330293155704,50.38,391.11,0.12,11.24,1
13.68,3.92,17.97,4.75,2.04,0.27,2.16,0.35,11.12,0.27,3.34,0.21,0.18,0.62,0.19,-0.01,0.03,0.3,35.75,0.35,0.04,1.28,1.21,0.06,0.1,50,25,4,12.6,0.09,0.97,12.66,5.4,0.98,4417,30,2.39697358987827,4.37,635.65,0.12,11.21,0
7.25,5.39,13.73,1.09,3.29,0.15,2.18,0.36,36.79,0.19,3.33,0.34,0.19,0.5,0.2,-0.04,0.12,0.46,35.39,0.19,0.02,1.68,0.18,0.06,0.11,23,15,2,12.03,0.12,0.64,7.63,3.87,1.46,1156,24,1.93718430595982,7.51,470.76,0.29,10.21,0
