controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
5.1,5.74,14.33,4.1,3.73,0.17,2.84,0.43,11.05,0.14,2.2,0.26,0.17,2.04,0.22,-0.23,0.01,0.13,21.4,0.17,0.03,0.58,0.15,0.11,0.1,40,22,1,8.07,0.06,0.66,9.92,15.45,1.18,598,4,3.55069018412565,0.76,163,0.24,1.92,0
12.78,6.19,19.85,1.03,3.53,0.3,1.51,0.29,16.95,0.25,3.2,0.35,0.2,0.52,0.13,-0.29,0.11,0.12,30.69,0.23,0.02,2.45,0.43,0.07,0.09,25,26,3,13.42,0.07,0.55,17.7,15.36,0.64,23,2,0.038431018908386,10.08,97.9,0.18,2.83,1
7.87,3.45,19.38,4.88,2.47,0.22,3.16,0.27,26.68,0.33,2.16,0.17,0.39,1.15,0.14,-0.23,0.08,0.34,32.17,0.21,0.02,1.47,1.32,0.15,0.11,34,14,2,9.52,0.07,0.48,13.09,17.06,1.3,75,6,0.026727507003509,10.77,163.48,0.12,4.41,0.5
7.83,4.47,10.44,2.21,4.11,0.28,3.62,0.41,17.88,0.16,1.99,0.39,0.2,0.77,0.17,-0.25,0.03,0.14,44.97,0.17,0.02,2.09,0.22,0.14,0.12,41,13,0,8.19,0.11,1.46,13.15,11.98,0.52,9,1,0.06806731991802,12.07,94.1,0.12,2.75,1
12.94,3.62,12.5,4.85,2.01,0.12,2.35,0.29,18.8,0.26,3.3,0.22,0.3,1.66,0.17,-0.01,0.1,0.28,35.89,0.34,0.04,0.57,0.88,0.07,0.11,45,18,2,10.4,0.03,0.94,18.72,16.79,0.89,332,4,2.43458654796584,0.76,37.39,0.13,0.43,0
7.96,6.85,10.05,3.85,3.28,0.12,3.18,0.34,13.08,0.24,1.64,0.34,0.38,0.8,0.16,-0.11,0.05,0.48,23.19,0.24,0.02,1.23,1.34,0.14,0.06,23,26,3,8.54,0.02,0.94,6.43,13.62,1.42,7,1,0.021463507400851,8.51,51.39,0.22,1.45,1
8.22,6.35,17.02,1.56,3.77,0.22,3.41,0.44,24.8,0.28,3.18,0.4,0.32,0.76,0.15,-0.04,0.04,0.12,37.54,0.24,0.02,0.86,0.87,0.15,0.05,38,10,1,18.75,0.04,0.5,19.05,7.64,0.58,295,4,0.638704774504712,2.75,57.98,0.16,0.8,0
6.14,3.94,19.64,4.86,2.73,0.3,3.66,0.33,14.19,0.38,2.06,0.19,0.35,1.07,0.16,-0.29,0.09,0.31,27.06,0.26,0.02,1.09,1.32,0.07,0.12,20,25,5,8.6,0.12,0.6,7.59,7.51,0.67,1,2,0.069498031934183,15.04,142.38,0.36,4.21,1
7.68,4.58,11.29,3.36,2.09,0.11,3.21,0.48,18.83,0.1,3.73,0.33,0.17,1.57,0.1,-0.21,0.13,0.4,34.73,0.28,0.03,0.88,0.18,0.06,0.1,28,23,2,18.06,0.14,0.68,13.97,8.17,1.71,6,8,0.110925137293037,18.59,238.53,0.23,7.04,1
14.66,3.92,15.86,1.35,3.85,0.22,3.21,0.25,23.31,0.19,2.34,0.2,0.37,0.87,0.11,-0.01,0.07,0.23,27.57,0.25,0.04,0.75,0.91,0.08,0.13,28,14,2,6.62,0.03,1.09,18.11,10.28,1.96,24,0,0.064124728400965,8.56,67.63,0.56,1.73,1
