obs_dist,Method
0.86,RidgeCV
1.31,RidgeCV
0.78,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
1.21,RidgeCV
4.52,RidgeCV
0.63,RidgeCV
0.76,RidgeCV
0.79,RidgeCV
0.4,RidgeCV
0.65,RidgeCV
1.15,RidgeCV
0.58,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
3.13,RidgeCV
0.85,RidgeCV
0.77,RidgeCV
0.55,RidgeCV
0.94,RidgeCV
0.91,RidgeCV
0.78,RidgeCV
0.4,RidgeCV
0.57,RidgeCV
3.41,RidgeCV
0.4,RidgeCV
1.34,RidgeCV
0.95,RidgeCV
0.4,RidgeCV
1.26,RidgeCV
1.24,RidgeCV
1.15,RidgeCV
1.87,RidgeCV
0.95,RidgeCV
1.03,RidgeCV
1.66,RidgeCV
0.84,RidgeCV
1.31,RidgeCV
0.65,RidgeCV
0.59,RidgeCV
1.13,RidgeCV
0.4,RidgeCV
0.66,RidgeCV
0.64,RidgeCV
0.9,RidgeCV
0.77,RidgeCV
0.69,RidgeCV
0.4,RidgeCV
0.85,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
1.46,RidgeCV
0.4,RidgeCV
1.31,RidgeCV
0.92,RidgeCV
0.91,RidgeCV
0.4,RidgeCV
0.65,RidgeCV
0.68,RidgeCV
1.6,RidgeCV
0.87,RidgeCV
0.8,RidgeCV
1.19,RidgeCV
0.83,RidgeCV
0.88,RidgeCV
1.21,RidgeCV
0.53,RidgeCV
0.4,RidgeCV
0.77,RidgeCV
2.29,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
0.64,RidgeCV
0.66,RidgeCV
0.4,RidgeCV
0.66,CURE
0.45,CURE
0.64,CURE
0.84,CURE
1.14,CURE
0.81,CURE
0.92,CURE
0.61,CURE
0.76,CURE
0.91,CURE
0.4,CURE
0.66,CURE
0.72,CURE
0.79,CURE
0.4,CURE
0.4,CURE
0.59,CURE
1.12,CURE
0.4,CURE
1.6,CURE
0.4,CURE
0.64,CURE
0.62,CURE
0.9,CURE
1.05,CURE
0.64,CURE
0.74,CURE
0.8,CURE
0.64,CURE
0.64,CURE
0.77,CURE
0.4,CURE
0.67,CURE
0.69,CURE
0.56,CURE
0.78,CURE
0.77,CURE
0.6,CURE
0.4,CURE
0.55,CURE
0.4,CURE
0.78,CURE
0.64,CURE
0.4,CURE
0.4,CURE
0.4,CURE
0.55,CURE
0.4,CURE
0.59,CURE
0.71,CURE
0.4,CURE
0.68,CURE
0.67,CURE
0.4,CURE
0.4,CURE
0.99,CURE
0.41,CURE
0.4,CURE
0.8,CURE
0.8,CURE
0.85,CURE
0.63,CURE
0.4,CURE
0.4,CURE
0.54,CURE
0.62,CURE
0.84,CURE
0.87,CURE
0.66,CURE
0.96,CURE
0.6,CURE
0.67,CURE
0.58,CURE
0.4,CURE
0.66,CURE
0.59,CURE
0.4,CURE
0.4,CURE
0.4,CURE
0.4,CURE
0.6,CURE
0.58,CURE
0.7,CURE
0.67,CURE
0.65,CURE
0.88,CURE
0.4,CURE
0.63,CURE
0.82,CURE
0.54,CURE
0.4,CURE
0.4,CURE
0.6,CURE
0.55,CURE
0.6,CURE
0.61,CURE
0.4,CURE
0.62,CURE
0.67,CURE
0.4,CURE
0.64,CURE
0.67,CURE
0.92,CURE
0.65,CURE
0.69,CURE
0.87,CURE
0.4,CURE
0.69,CURE
0.81,CURE
0.86,CURE
0.4,CURE
0.41,CURE
0.61,CURE
0.7,CURE
0.57,CURE
0.56,CURE
0.4,CURE
0.58,CURE
0.56,CURE
0.67,CURE
0.61,CURE
0.56,CURE
0.66,CURE
0.61,CURE
0.61,CURE
0.4,CURE
0.55,CURE
0.73,CURE
0.4,CURE
0.4,CURE
0.64,CURE
0.66,CURE
0.4,CURE
0.68,CURE
0.6,CURE
0.57,CURE
0.54,CURE
0.4,CURE
0.66,CURE
0.63,CURE
0.55,CURE
0.4,CURE
0.8,CURE
0.63,CURE
0.4,CURE
0.83,CURE
0.4,CURE
0.4,CURE
0.58,CURE
0.68,CURE
0.59,CURE
0.66,CURE
0.4,CURE
0.4,CURE
0.62,CURE
0.77,CURE
0.4,CURE
0.59,CURE
0.57,CURE
0.4,CURE
0.7,CURE
0.65,CURE
0.4,CURE
0.62,CURE
1.05,CURE
0.58,CURE
0.64,CURE
0.62,CURE
0.84,CURE
0.4,CURE
0.6,CURE
0.69,CURE
0.71,CURE
0.63,CURE
0.4,CURE
0.59,CURE
0.75,CURE
0.4,CURE
0.55,CURE
0.87,CURE
0.4,CURE
0.54,CURE
0.78,CURE
0.63,CURE
0.65,CURE
0.65,CURE
0.58,CURE
0.99,CURE
0.4,CURE
0.61,CURE
0.4,CURE
0.4,CURE
0.62,CURE
0.56,CURE
0.4,CURE
0.61,CURE
0.41,CURE
0.59,CURE
0.81,CURE
0.4,CURE
0.65,CURE
